Player,Pos,Age,MP,Min,90s,Gls,Ast,CrdY,CrdR,xG,Gls/90,Ast/90,xG/90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,Recov,Won%,club
Thomas Müller,3,31.0,32,2558.0,28.4,8.0,18.0,0.0,0.0,10.5,0.28,0.63,0.37,0.0,11.0,22.0,12.0,89.0,15.0,20.0,94.0,35.6,bayern munich
Manuel Neuer,1,35.0,28,2510.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,85.0,71.4,bayern munich
Joshua Kimmich,3,26.0,28,2474.0,27.5,3.0,9.0,4.0,0.0,2.3,0.11,0.33,0.08,0.0,20.0,46.0,1.0,181.0,52.0,20.0,218.0,47.1,bayern munich
Dayot Upamecano,2,22.0,28,2211.0,24.6,1.0,6.0,4.0,0.0,0.6,0.04,0.24,0.02,0.0,28.0,11.0,1.0,2.0,32.0,42.0,249.0,59.0,bayern munich
Serge Gnabry,6,26.0,34,2185.0,24.3,14.0,5.0,0.0,0.0,8.5,0.58,0.21,0.35,0.0,11.0,21.0,15.0,79.0,14.0,31.0,146.0,20.6,bayern munich
Lucas Hernández,2,25.0,25,2030.0,22.6,0.0,1.0,7.0,0.0,0.4,0.0,0.04,0.02,0.0,22.0,36.0,0.0,9.0,28.0,31.0,179.0,62.5,bayern munich
Benjamin Pavard,2,25.0,25,2076.0,23.1,0.0,1.0,2.0,1.0,0.7,0.0,0.04,0.03,0.0,17.0,10.0,2.0,39.0,36.0,20.0,139.0,73.8,bayern munich
Leroy Sané,7,25.0,32,1976.0,22.0,7.0,7.0,3.0,0.0,11.4,0.32,0.32,0.52,0.0,25.0,24.0,7.0,38.0,12.0,16.0,106.0,22.2,bayern munich
Alphonso Davies,2,20.0,22,1740.0,19.3,0.0,3.0,3.0,0.0,1.3,0.0,0.16,0.07,0.0,15.0,27.0,3.0,41.0,23.0,17.0,144.0,39.3,bayern munich
Niklas Süle,2,25.0,28,1837.0,20.4,1.0,2.0,2.0,0.0,1.3,0.05,0.1,0.07,0.0,10.0,1.0,1.0,6.0,28.0,23.0,158.0,76.9,bayern munich
Leon Goretzka,3,26.0,19,1396.0,15.5,3.0,3.0,0.0,0.0,4.1,0.19,0.19,0.26,0.0,15.0,10.0,1.0,9.0,17.0,15.0,108.0,67.4,bayern munich
Kingsley Coman,6,25.0,21,1359.0,15.1,6.0,2.0,1.0,1.0,4.0,0.4,0.13,0.26,0.0,9.0,22.0,5.0,79.0,8.0,8.0,78.0,39.1,bayern munich
