Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Thomas Müller,de GER,MF,31.0,32,32,2558.0,28.4,8.0,18.0,26.0,8.0,0.0,0.0,0.0,0.0,10.5,10.5,12.7,23.2,46.0,155.0,301.0,0.28,0.63,0.91,0.28,0.91,0.37,0.45,0.81,0.37,0.81,Matches,bayern munich
Manuel Neuer,de GER,GK,35.0,28,28,2510.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bayern munich
Joshua Kimmich,de GER,MF,26.0,28,28,2474.0,27.5,3.0,9.0,12.0,3.0,0.0,0.0,4.0,0.0,2.3,2.3,8.7,11.0,43.0,292.0,53.0,0.11,0.33,0.44,0.11,0.44,0.08,0.32,0.4,0.08,0.4,Matches,bayern munich
Dayot Upamecano,fr FRA,DF,22.0,28,25,2211.0,24.6,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,2.0,2.5,32.0,183.0,9.0,0.04,0.24,0.28,0.04,0.28,0.02,0.08,0.1,0.02,0.1,Matches,bayern munich
Serge Gnabry,de GER,"FW,DF",26.0,34,25,2185.0,24.3,14.0,5.0,19.0,14.0,0.0,0.0,0.0,0.0,8.5,8.5,8.4,16.9,100.0,127.0,313.0,0.58,0.21,0.78,0.58,0.78,0.35,0.35,0.7,0.35,0.7,Matches,bayern munich
Lucas Hernández,fr FRA,DF,25.0,25,25,2030.0,22.6,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.4,0.9,47.0,193.0,32.0,0.0,0.04,0.04,0.0,0.04,0.02,0.02,0.04,0.02,0.04,Matches,bayern munich
Benjamin Pavard,fr FRA,DF,25.0,25,24,2076.0,23.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.7,0.7,1.6,2.3,50.0,193.0,91.0,0.0,0.04,0.04,0.0,0.04,0.03,0.07,0.1,0.03,0.1,Matches,bayern munich
Leroy Sané,de GER,"FW,MF",25.0,32,22,1976.0,22.0,7.0,7.0,14.0,7.0,0.0,0.0,3.0,0.0,11.4,11.4,6.2,17.6,80.0,117.0,203.0,0.32,0.32,0.64,0.32,0.64,0.52,0.28,0.8,0.52,0.8,Matches,bayern munich
Alphonso Davies,ca CAN,DF,20.0,22,20,1740.0,19.3,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.3,1.3,4.1,5.4,113.0,98.0,201.0,0.0,0.16,0.16,0.0,0.16,0.07,0.21,0.28,0.07,0.28,Matches,bayern munich
Niklas Süle,de GER,DF,25.0,28,19,1837.0,20.4,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,1.2,2.5,31.0,140.0,20.0,0.05,0.1,0.15,0.05,0.15,0.07,0.06,0.12,0.07,0.12,Matches,bayern munich
