Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Aleksandar Mitrović,rs SRB,FW,26.0,44,44,3826.0,42.5,43.0,7.0,50.0,37.0,6.0,7.0,10.0,0.0,35.6,30.1,6.5,36.5,34.0,105.0,236.0,1.01,0.16,1.18,0.87,1.04,0.84,0.15,0.99,0.71,0.86,Matches,fulham
Tosin Adarabioyo,eng ENG,DF,23.0,41,41,3684.0,40.9,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,2.3,2.3,1.2,3.5,25.0,152.0,1.0,0.05,0.05,0.1,0.05,0.1,0.06,0.03,0.08,0.06,0.08,Matches,fulham
Harry Wilson,wls WAL,FW,24.0,41,40,3476.0,38.6,10.0,19.0,29.0,10.0,0.0,0.0,6.0,1.0,12.8,12.8,14.1,26.9,92.0,162.0,358.0,0.26,0.49,0.75,0.26,0.75,0.33,0.36,0.7,0.33,0.7,Matches,fulham
Antonee Robinson,us USA,DF,23.0,36,33,3029.0,33.7,2.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,0.6,0.6,4.4,4.9,155.0,239.0,214.0,0.06,0.12,0.18,0.06,0.18,0.02,0.13,0.15,0.02,0.15,Matches,fulham
Marek Rodák,sk SVK,GK,24.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,fulham
Fabio Carvalho,pt POR,MF,18.0,36,33,2831.0,31.5,10.0,7.0,17.0,10.0,0.0,0.0,5.0,0.0,8.6,8.6,9.6,18.2,97.0,127.0,230.0,0.32,0.22,0.54,0.32,0.54,0.27,0.3,0.58,0.27,0.58,Matches,fulham
Harrison Reed,eng ENG,MF,26.0,39,32,2695.0,29.9,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,1.9,1.9,3.3,5.2,32.0,145.0,85.0,0.0,0.07,0.07,0.0,0.07,0.06,0.11,0.17,0.06,0.17,Matches,fulham
Neeskens Kebano,cd COD,FW,29.0,40,31,2717.0,30.2,9.0,6.0,15.0,9.0,0.0,0.0,1.0,0.0,10.1,10.1,4.8,14.8,130.0,84.0,375.0,0.3,0.2,0.5,0.3,0.5,0.33,0.16,0.49,0.33,0.49,Matches,fulham
Bobby Reid,jm JAM,"FW,MF",28.0,41,26,2524.0,28.0,8.0,8.0,16.0,8.0,0.0,0.0,4.0,0.0,7.7,7.7,6.2,13.9,55.0,110.0,223.0,0.29,0.29,0.57,0.29,0.57,0.27,0.22,0.49,0.27,0.49,Matches,fulham
Jean Seri,ci CIV,MF,30.0,33,26,2196.0,24.4,1.0,6.0,7.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,5.7,6.8,13.0,172.0,17.0,0.04,0.25,0.29,0.04,0.29,0.04,0.23,0.28,0.04,0.28,Matches,fulham
Denis Odoi,gh GHA,DF,33.0,18,17,1471.0,16.3,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,2.3,2.3,1.1,3.4,31.0,62.0,33.0,0.06,0.18,0.24,0.06,0.24,0.14,0.07,0.21,0.14,0.21,Matches,fulham
Tom Cairney,sct SCO,MF,30.0,26,16,1547.0,17.2,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,1.4,1.4,3.0,4.4,24.0,148.0,72.0,0.17,0.23,0.41,0.17,0.41,0.08,0.17,0.26,0.08,0.26,Matches,fulham
Kenny Tete,nl NED,DF,25.0,20,15,1342.0,14.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,2.4,3.2,30.0,76.0,53.0,0.13,0.07,0.2,0.13,0.2,0.05,0.16,0.21,0.05,0.21,Matches,fulham
Neco Williams,wls WAL,DF,20.0,14,14,1192.0,13.2,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.9,1.9,56.0,85.0,61.0,0.15,0.15,0.3,0.15,0.3,0.08,0.07,0.14,0.08,0.14,Matches,fulham
Paulo Gazzaniga,ar ARG,GK,29.0,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,fulham
Joe Bryan,eng ENG,DF,27.0,15,13,1045.0,11.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.0,1.4,36.0,74.0,29.0,0.0,0.09,0.09,0.0,0.09,0.03,0.09,0.12,0.03,0.12,Matches,fulham
Nathaniel Chalobah,eng ENG,MF,26.0,20,11,944.0,10.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,1.3,2.0,13.0,47.0,14.0,0.0,0.1,0.1,0.0,0.1,0.07,0.12,0.19,0.07,0.19,Matches,fulham
Josh Onomah,eng ENG,MF,24.0,20,8,808.0,9.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,1.4,2.9,27.0,52.0,51.0,0.11,0.33,0.45,0.11,0.45,0.17,0.15,0.32,0.17,0.32,Matches,fulham
Ivan Cavaleiro,pt POR,"FW,MF",27.0,18,5,600.0,6.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.4,2.4,2.4,4.9,34.0,43.0,107.0,0.3,0.0,0.3,0.3,0.3,0.37,0.36,0.73,0.37,0.73,Matches,fulham
Michael Hector,jm JAM,DF,29.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,fulham
Rodrigo Muniz,br BRA,"FW,MF",20.0,25,2,511.0,5.7,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.3,4.3,0.5,4.8,6.0,6.0,29.0,0.88,0.0,0.88,0.88,0.88,0.76,0.09,0.85,0.76,0.85,Matches,fulham
Alfie Mawson,eng ENG,DF,27.0,6,1,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,fulham
Domingos Quina,pt POR,"MF,FW",21.0,2,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.3,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.24,0.03,0.28,0.24,0.28,Matches,fulham
Tyrese Francois,au AUS,MF,21.0,2,1,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,fulham
Andre-Frank Zambo Anguissa,cm CMR,MF,25.0,3,0,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,6.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.62,0.66,0.05,0.66,Matches,fulham
Anthony Knockaert,fr FRA,"FW,MF",29.0,4,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2,0.34,0.14,0.34,Matches,fulham
Aboubakar Kamara,mr MTN,FW,26.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,fulham
Jay Stansfield,eng ENG,FW,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.17,14.39,30.56,16.17,30.56,Matches,fulham
Fabricio,es ESP,GK,33.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,fulham
Mark Travers,ie IRL,GK,22.0,45,45,4050.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bournemouth
Lloyd Kelly,eng ENG,DF,22.0,41,40,3625.0,40.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.8,0.8,1.2,2.0,37.0,163.0,9.0,0.02,0.02,0.05,0.02,0.05,0.02,0.03,0.05,0.02,0.05,Matches,bournemouth
Jaidon Anthony,eng ENG,FW,21.0,45,38,3251.0,36.1,8.0,6.0,14.0,8.0,0.0,0.0,3.0,0.0,7.9,7.9,9.1,16.9,100.0,202.0,332.0,0.22,0.17,0.39,0.22,0.39,0.22,0.25,0.47,0.22,0.47,Matches,bournemouth
Philip Billing,dk DEN,MF,25.0,40,37,3304.0,36.7,10.0,10.0,20.0,10.0,0.0,0.0,13.0,0.0,8.0,8.0,6.8,14.8,61.0,110.0,220.0,0.27,0.27,0.54,0.27,0.54,0.22,0.19,0.4,0.22,0.4,Matches,bournemouth
Ryan Christie,sct SCO,"FW,MF",26.0,38,36,2997.0,33.3,3.0,8.0,11.0,3.0,0.0,0.0,6.0,0.0,7.1,7.1,7.8,14.9,81.0,165.0,286.0,0.09,0.24,0.33,0.09,0.33,0.21,0.23,0.45,0.21,0.45,Matches,bournemouth
Jefferson Lerma,co COL,MF,26.0,34,33,2854.0,31.7,1.0,3.0,4.0,1.0,0.0,0.0,8.0,2.0,4.1,4.1,3.1,7.1,27.0,163.0,66.0,0.03,0.09,0.13,0.03,0.13,0.13,0.1,0.23,0.13,0.23,Matches,bournemouth
Jordan Zemura,zw ZIM,DF,21.0,33,32,2912.0,32.4,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,1.9,1.9,3.4,5.2,118.0,184.0,146.0,0.09,0.03,0.12,0.09,0.12,0.06,0.1,0.16,0.06,0.16,Matches,bournemouth
