Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Daley Blind,nl NED,DF,31.0,34,32,2808.0,31.2,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.9,1.9,3.9,5.8,66.0,497.0,207.0,0.03,0.06,0.1,0.03,0.1,0.06,0.12,0.19,0.06,0.19,Matches,ajax
Sébastien Haller,ci CIV,FW,27.0,31,31,2568.0,28.5,21.0,7.0,28.0,19.0,2.0,2.0,4.0,0.0,21.7,20.2,6.6,26.7,21.0,66.0,216.0,0.74,0.25,0.98,0.67,0.91,0.76,0.23,0.99,0.71,0.94,Matches,ajax
Jurriën Timber,nl NED,DF,20.0,30,29,2550.0,28.3,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,2.3,2.3,1.7,4.0,73.0,256.0,45.0,0.11,0.07,0.18,0.11,0.18,0.08,0.06,0.14,0.08,0.14,Matches,ajax
Steven Berghuis,nl NED,"MF,FW",29.0,33,29,2389.0,26.5,8.0,11.0,19.0,8.0,0.0,0.0,0.0,0.0,8.8,8.8,9.9,18.6,48.0,226.0,227.0,0.3,0.41,0.72,0.3,0.72,0.33,0.37,0.7,0.33,0.7,Matches,ajax
Edson Álvarez,mx MEX,MF,23.0,31,28,2331.0,25.9,5.0,1.0,6.0,5.0,0.0,0.0,5.0,0.0,4.6,4.6,0.4,5.0,20.0,152.0,32.0,0.19,0.04,0.23,0.19,0.23,0.18,0.02,0.19,0.18,0.19,Matches,ajax
Ryan Gravenberch,nl NED,MF,19.0,30,26,2205.0,24.5,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,4.2,4.2,3.9,8.1,92.0,204.0,148.0,0.08,0.2,0.29,0.08,0.29,0.17,0.16,0.33,0.17,0.33,Matches,ajax
Noussair Mazraoui,ma MAR,DF,23.0,25,23,1951.0,21.7,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,4.1,4.1,4.1,8.2,83.0,199.0,213.0,0.23,0.09,0.32,0.23,0.32,0.19,0.19,0.38,0.19,0.38,Matches,ajax
Lisandro Martínez,ar ARG,DF,23.0,24,23,1906.0,21.2,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,2.5,2.5,1.9,4.4,41.0,209.0,9.0,0.05,0.14,0.19,0.05,0.19,0.12,0.09,0.21,0.12,0.21,Matches,ajax
Antony,br BRA,FW,21.0,23,21,1724.0,19.2,8.0,4.0,12.0,8.0,0.0,0.0,5.0,1.0,7.1,7.1,4.5,11.6,82.0,137.0,327.0,0.42,0.21,0.63,0.42,0.63,0.37,0.24,0.6,0.37,0.6,Matches,ajax
Remko Pasveer,nl NED,GK,37.0,20,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ajax
Davy Klaassen,nl NED,MF,28.0,31,18,1798.0,20.0,9.0,0.0,9.0,9.0,0.0,0.0,4.0,0.0,8.5,8.5,2.2,10.7,6.0,59.0,68.0,0.45,0.0,0.45,0.45,0.45,0.42,0.11,0.53,0.42,0.53,Matches,ajax
Perr Schuurs,nl NED,DF,21.0,22,10,1047.0,11.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.1,1.7,17.0,78.0,3.0,0.0,0.09,0.09,0.0,0.09,0.05,0.09,0.14,0.05,0.14,Matches,ajax
Nicolás Tagliafico,ar ARG,DF,28.0,22,9,937.0,10.4,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.2,1.2,1.8,3.0,24.0,79.0,75.0,0.19,0.19,0.38,0.19,0.38,0.12,0.17,0.29,0.12,0.29,Matches,ajax
Devyne Rensch,nl NED,DF,18.0,19,8,801.0,8.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,1.7,1.9,22.0,63.0,51.0,0.11,0.11,0.22,0.11,0.22,0.02,0.2,0.22,0.02,0.22,Matches,ajax
Maarten Stekelenburg,nl NED,GK,38.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ajax
André Onana,cm CMR,GK,25.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ajax
Kenneth Taylor,nl NED,MF,19.0,13,5,581.0,6.5,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,2.3,26.0,47.0,49.0,0.15,0.46,0.62,0.15,0.62,0.16,0.2,0.36,0.16,0.36,Matches,ajax
Kudus Mohammed,gh GHA,MF,20.0,16,4,419.0,4.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.4,2.4,0.8,3.2,7.0,37.0,45.0,0.21,0.21,0.43,0.21,0.43,0.51,0.18,0.69,0.51,0.69,Matches,ajax
Brian Brobbey,nl NED,FW,19.0,11,4,399.0,4.4,7.0,1.0,8.0,7.0,0.0,0.0,1.0,0.0,4.5,4.5,0.7,5.2,7.0,4.0,43.0,1.58,0.23,1.8,1.58,1.8,1.02,0.17,1.18,1.02,1.18,Matches,ajax
David Neres,br BRA,FW,24.0,15,3,474.0,5.3,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,1.9,1.9,2.0,4.0,24.0,37.0,97.0,0.57,0.38,0.95,0.57,0.95,0.36,0.39,0.75,0.36,0.75,Matches,ajax
Youri Regeer,nl NED,DF,17.0,3,2,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,ajax
Danilo,br BRA,"FW,MF",22.0,13,1,283.0,3.1,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.1,4.1,2.0,12.0,21.0,0.64,0.32,0.95,0.64,0.95,0.95,0.35,1.3,0.95,1.3,Matches,ajax
Jay Gorter,nl NED,GK,21.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ajax
Mohammed Daramy,dk DEN,"FW,MF",19.0,12,0,208.0,2.3,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.9,1.9,2.7,4.6,29.0,6.0,46.0,0.43,1.3,1.73,0.43,1.73,0.83,1.15,1.99,0.83,1.99,Matches,ajax
Liam van Gelderen,nl NED,DF,20.0,2,0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.32,0.06,0.39,0.32,0.39,Matches,ajax
Zakaria Labyad,ma MAR,MF,28.0,2,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,Matches,ajax
Anass Salah-Eddine,nl NED,DF,19.0,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ajax
Victor Jensen,dk DEN,MF,21.0,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ajax
Amourrichio Van Axel Dongen,nl NED,FW,16.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ajax
Youri Baas,nl NED,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ajax
Jurgen Ekkelenkamp,nl NED,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ajax
Kian Fitz-Jim,nl NED,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ajax
Sontje Hansen,nl NED,"FW,MF",19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ajax
Mohammed Ihattaren,nl NED,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ajax
Enric Llansana,nl NED,"DF,MF",20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ajax
Lisandro Magallán,ar ARG,DF,27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ajax
