Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Marquinhos,br BRA,DF,27.0,32,32,2861.0,31.8,5.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,3.8,3.8,0.4,4.1,9.0,128.0,8.0,0.16,0.0,0.16,0.16,0.16,0.12,0.01,0.13,0.12,0.13,Matches,paris saint germain
Presnel Kimpembe,fr FRA,DF,25.0,30,29,2576.0,28.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.4,1.4,0.1,1.5,30.0,170.0,16.0,0.03,0.0,0.03,0.03,0.03,0.05,0.0,0.05,0.05,0.05,Matches,paris saint germain
Achraf Hakimi,ma MAR,DF,22.0,32,28,2479.0,27.5,4.0,6.0,10.0,4.0,0.0,0.0,3.0,1.0,2.5,2.5,4.1,6.6,71.0,99.0,294.0,0.15,0.22,0.36,0.15,0.36,0.09,0.15,0.24,0.09,0.24,Matches,paris saint germain
Lionel Messi,ar ARG,"FW,MF",34.0,26,24,2153.0,23.9,6.0,14.0,20.0,6.0,0.0,0.0,0.0,0.0,10.0,10.0,8.8,18.9,113.0,291.0,125.0,0.25,0.59,0.84,0.25,0.84,0.42,0.37,0.79,0.42,0.79,Matches,paris saint germain
Marco Verratti,it ITA,MF,28.0,24,23,1937.0,21.5,2.0,2.0,4.0,2.0,0.0,0.0,12.0,0.0,0.6,0.6,2.3,2.9,56.0,193.0,63.0,0.09,0.09,0.19,0.09,0.19,0.03,0.11,0.14,0.03,0.14,Matches,paris saint germain
Danilo Pereira,pt POR,MF,29.0,27,22,2038.0,22.6,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,3.2,3.2,0.4,3.6,18.0,111.0,15.0,0.22,0.0,0.22,0.22,0.22,0.14,0.02,0.16,0.14,0.16,Matches,paris saint germain
Neymar,br BRA,"FW,MF",29.0,22,22,1851.0,20.6,13.0,6.0,19.0,10.0,3.0,4.0,10.0,0.0,10.8,7.7,7.5,15.2,96.0,146.0,244.0,0.63,0.29,0.92,0.49,0.78,0.53,0.37,0.89,0.37,0.74,Matches,paris saint germain
Keylor Navas,cr CRC,GK,34.0,21,21,1856.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,paris saint germain
Ángel Di María,ar ARG,FW,33.0,26,19,1645.0,18.3,5.0,7.0,12.0,5.0,0.0,0.0,2.0,0.0,5.4,5.4,7.0,12.3,74.0,112.0,235.0,0.27,0.38,0.66,0.27,0.66,0.29,0.38,0.67,0.29,0.67,Matches,paris saint germain
Nuno Mendes,pt POR,DF,19.0,27,18,1658.0,18.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,2.8,3.1,41.0,53.0,128.0,0.0,0.05,0.05,0.0,0.05,0.01,0.15,0.17,0.01,0.17,Matches,paris saint germain
Georginio Wijnaldum,nl NED,MF,30.0,31,18,1653.0,18.4,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.8,3.9,13.0,59.0,55.0,0.05,0.16,0.22,0.05,0.22,0.11,0.1,0.21,0.11,0.21,Matches,paris saint germain
Idrissa Gana Gueye,sn SEN,MF,31.0,26,18,1641.0,18.2,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,1.4,1.4,1.7,3.1,28.0,132.0,35.0,0.16,0.05,0.22,0.16,0.22,0.08,0.09,0.17,0.08,0.17,Matches,paris saint germain
Gianluigi Donnarumma,it ITA,GK,22.0,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,paris saint germain
Thilo Kehrer,de GER,DF,24.0,27,16,1513.0,16.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.1,13.0,67.0,39.0,0.12,0.0,0.12,0.12,0.12,0.06,0.0,0.06,0.06,0.06,Matches,paris saint germain
Ander Herrera,es ESP,MF,31.0,19,12,1091.0,12.1,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.8,0.8,1.4,2.2,11.0,97.0,25.0,0.25,0.16,0.41,0.25,0.41,0.06,0.11,0.18,0.06,0.18,Matches,paris saint germain
Juan Bernat,es ESP,"DF,MF",28.0,15,12,958.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.7,0.8,20.0,30.0,85.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.07,0.01,0.07,Matches,paris saint germain
Mauro Icardi,ar ARG,FW,28.0,24,10,1027.0,11.4,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,5.4,5.4,0.7,6.1,6.0,10.0,53.0,0.35,0.0,0.35,0.35,0.35,0.48,0.06,0.53,0.48,0.53,Matches,paris saint germain
Abdou Diallo,sn SEN,DF,25.0,12,10,877.0,9.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,16.0,47.0,39.0,0.0,0.1,0.1,0.0,0.1,0.01,0.07,0.08,0.01,0.08,Matches,paris saint germain
Leandro Paredes,ar ARG,MF,27.0,15,10,838.0,9.3,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.4,0.8,6.0,55.0,3.0,0.11,0.21,0.32,0.11,0.32,0.04,0.04,0.08,0.04,0.08,Matches,paris saint germain
Sergio Ramos,es ESP,DF,35.0,12,8,801.0,8.9,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,1.8,1.8,0.0,1.8,8.0,61.0,5.0,0.22,0.0,0.22,0.22,0.22,0.2,0.0,0.2,0.2,0.2,Matches,paris saint germain
Julian Draxler,de GER,"FW,MF",27.0,18,5,548.0,6.1,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,2.3,3.8,14.0,33.0,48.0,0.33,0.16,0.49,0.33,0.49,0.24,0.38,0.62,0.24,0.62,Matches,paris saint germain
Junior Dina Ebimbe,fr FRA,MF,20.0,10,4,316.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,7.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,paris saint germain
Rafinha,br BRA,"FW,MF",28.0,5,3,220.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,6.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12,Matches,paris saint germain
Colin Dagba,fr FRA,DF,22.0,3,2,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,7.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,paris saint germain
Xavi Simons,nl NED,"MF,FW",18.0,6,1,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.22,0.14,0.22,Matches,paris saint germain
Edouard Michut,fr FRA,MF,18.0,5,0,70.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,1.0,6.0,2.0,0.0,1.29,1.29,0.0,1.29,0.0,0.08,0.08,0.0,0.08,Matches,paris saint germain
Sergio Rico,es ESP,GK,27.0,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,paris saint germain
Pablo Sarabia,es ESP,FW,29.0,2,0,22.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,4.09,0.0,4.09,4.09,4.09,4.16,0.0,4.16,4.16,4.16,Matches,paris saint germain
Sekou Yansané,gn GUI,FW,18.0,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,paris saint germain
Nathan Bitu Mazala,fr FRA,DF,18.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,paris saint germain
Arnaud Kalimuendo,fr FRA,FW,19.0,2,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,paris saint germain
Alexandre Letellier,fr FRA,GK,30.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,paris saint germain
El Chadaille Bitshiabu,fr FRA,DF,16.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,paris saint germain
Djeidi Gassama,fr FRA,FW,17.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,paris saint germain
