Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Otávio,pt POR,"MF,FW",26.0,32,32,2659.0,29.5,3.0,9.0,12.0,3.0,0.0,0.0,8.0,0.0,6.2,6.2,9.2,15.4,62.0,212.0,159.0,0.1,0.3,0.41,0.1,0.41,0.21,0.31,0.52,0.21,0.52,Matches,porto
Chancel Mbemba,cd COD,DF,26.0,31,31,2785.0,30.9,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,0.5,1.9,18.0,92.0,5.0,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.06,0.05,0.06,Matches,porto
Mehdi Taremi,ir IRN,FW,29.0,32,27,2423.0,26.9,20.0,12.0,32.0,14.0,6.0,7.0,5.0,1.0,20.3,15.5,12.0,27.5,58.0,74.0,181.0,0.74,0.45,1.19,0.52,0.97,0.75,0.45,1.2,0.57,1.02,Matches,porto
Vitinha,pt POR,MF,21.0,30,27,2251.0,25.0,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,3.2,3.2,4.5,7.7,69.0,206.0,40.0,0.08,0.12,0.2,0.08,0.2,0.13,0.18,0.31,0.13,0.31,Matches,porto
Evanilson,br BRA,FW,21.0,30,25,2025.0,22.5,14.0,4.0,18.0,14.0,0.0,1.0,2.0,0.0,14.2,13.4,2.7,16.1,21.0,32.0,153.0,0.62,0.18,0.8,0.62,0.8,0.63,0.12,0.75,0.6,0.72,Matches,porto
João Mário Lopes,pt POR,DF,21.0,28,24,2065.0,22.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,3.9,4.1,83.0,78.0,130.0,0.0,0.09,0.09,0.0,0.09,0.01,0.17,0.18,0.01,0.18,Matches,porto
Mateus Uribe,co COL,MF,30.0,25,23,1990.0,22.1,1.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,1.9,1.9,2.1,3.9,9.0,141.0,23.0,0.05,0.09,0.14,0.05,0.14,0.08,0.09,0.18,0.08,0.18,Matches,porto
Pepe,pt POR,DF,38.0,21,21,1794.0,19.9,1.0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,1.0,1.0,0.7,1.7,6.0,93.0,4.0,0.05,0.05,0.1,0.05,0.1,0.05,0.04,0.09,0.05,0.09,Matches,porto
Zaidu Sanusi,ng NGA,DF,24.0,24,20,1708.0,19.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.7,2.7,1.0,3.8,56.0,64.0,104.0,0.16,0.0,0.16,0.16,0.16,0.14,0.05,0.2,0.14,0.2,Matches,porto
Luis Díaz,co COL,"MF,FW",24.0,18,18,1491.0,16.6,14.0,4.0,18.0,14.0,0.0,1.0,2.0,0.0,12.4,11.7,5.6,17.3,90.0,61.0,186.0,0.85,0.24,1.09,0.85,1.09,0.75,0.34,1.09,0.7,1.04,Matches,porto
Pepê,br BRA,"MF,DF",24.0,28,15,1356.0,15.1,4.0,3.0,7.0,4.0,0.0,0.0,3.0,0.0,5.9,5.9,4.3,10.2,43.0,71.0,107.0,0.27,0.2,0.46,0.27,0.46,0.39,0.29,0.68,0.39,0.68,Matches,porto
Fabio Vieira,pt POR,"MF,FW",21.0,27,15,1329.0,14.8,6.0,11.0,17.0,6.0,0.0,0.0,2.0,0.0,3.7,3.6,5.2,8.8,39.0,100.0,112.0,0.41,0.74,1.15,0.41,1.15,0.25,0.36,0.61,0.24,0.6,Matches,porto
Fábio Cardoso,pt POR,DF,27.0,14,11,1076.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.2,0.6,6.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,porto
Wendell,br BRA,DF,28.0,19,10,951.0,10.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.5,0.5,2.2,2.6,33.0,47.0,59.0,0.09,0.09,0.19,0.09,0.19,0.04,0.2,0.25,0.04,0.25,Matches,porto
Marko Grujić,rs SRB,MF,25.0,21,10,892.0,9.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.6,1.6,0.3,1.9,10.0,64.0,10.0,0.1,0.0,0.1,0.1,0.1,0.16,0.03,0.2,0.16,0.19,Matches,porto
Bruno Xavier Almeida Costa,pt POR,"MF,DF",24.0,12,9,671.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.5,0.9,2.0,41.0,13.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12,Matches,porto
Iván Marcano,es ESP,DF,34.0,8,8,658.0,7.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.1,1.3,5.0,36.0,4.0,0.14,0.0,0.14,0.14,0.14,0.16,0.01,0.17,0.16,0.17,Matches,porto
Toni Martínez,es ESP,FW,24.0,19,4,475.0,5.3,3.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,3.0,3.0,0.5,3.5,8.0,7.0,42.0,0.57,0.0,0.57,0.57,0.57,0.56,0.1,0.66,0.56,0.66,Matches,porto
Sérgio Oliveira,pt POR,MF,29.0,13,3,398.0,4.4,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.8,0.8,0.9,1.7,5.0,20.0,22.0,0.45,0.0,0.45,0.45,0.45,0.18,0.19,0.38,0.18,0.38,Matches,porto
Jesús Corona,mx MEX,"DF,MF",28.0,11,3,388.0,4.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.7,10.0,22.0,49.0,0.0,0.23,0.23,0.0,0.23,0.15,0.26,0.41,0.15,0.41,Matches,porto
