Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Thomas Müller,de GER,MF,31.0,28.4,0,0,0,11,22,12,89,15,20,0,0,1,94,31,56,35.6,Matches,bayern munich
Manuel Neuer,de GER,GK,35.0,27.9,0,0,0,0,1,0,0,0,1,0,0,0,85,5,2,71.4,Matches,bayern munich
Joshua Kimmich,de GER,MF,26.0,27.5,4,0,0,20,46,1,181,52,20,0,1,0,218,16,18,47.1,Matches,bayern munich
Dayot Upamecano,fr FRA,DF,22.0,24.6,4,0,0,28,11,1,2,32,42,0,1,0,249,62,43,59.0,Matches,bayern munich
Serge Gnabry,de GER,"FW,DF",26.0,24.3,0,0,0,11,21,15,79,14,31,0,0,0,146,7,27,20.6,Matches,bayern munich
Lucas Hernández,fr FRA,DF,25.0,22.6,7,0,0,22,36,0,9,28,31,0,0,0,179,40,24,62.5,Matches,bayern munich
Benjamin Pavard,fr FRA,DF,25.0,23.1,2,1,0,17,10,2,39,36,20,0,0,0,139,45,16,73.8,Matches,bayern munich
Leroy Sané,de GER,"FW,MF",25.0,22.0,3,0,0,25,24,7,38,12,16,0,0,0,106,2,7,22.2,Matches,bayern munich
Alphonso Davies,ca CAN,DF,20.0,19.3,3,0,0,15,27,3,41,23,17,0,0,0,144,11,17,39.3,Matches,bayern munich
Niklas Süle,de GER,DF,25.0,20.4,2,0,0,10,1,1,6,28,23,0,0,0,158,40,12,76.9,Matches,bayern munich
Leon Goretzka,de GER,MF,26.0,15.5,0,0,0,15,10,1,9,17,15,0,0,0,108,31,15,67.4,Matches,bayern munich
Kingsley Coman,fr FRA,"FW,DF",25.0,15.1,1,1,0,9,22,5,79,8,8,0,0,0,78,9,14,39.1,Matches,bayern munich
Jamal Musiala,de GER,"MF,FW",18.0,16.3,2,0,0,17,20,2,5,19,26,0,0,0,115,5,13,27.8,Matches,bayern munich
Marcel Sabitzer,at AUT,"MF,DF",27.0,10.1,0,0,0,16,15,0,16,9,7,0,0,0,67,11,9,55.0,Matches,bayern munich
Corentin Tolisso,fr FRA,MF,26.0,7.8,0,0,0,13,6,3,6,9,5,0,0,0,59,12,15,44.4,Matches,bayern munich
Josip Stanišić,hr CRO,DF,21.0,7.2,1,0,0,4,1,0,10,11,10,0,0,0,54,7,6,53.8,Matches,bayern munich
Tanguy Nianzou,fr FRA,DF,19.0,6.5,4,0,0,13,8,0,1,7,7,0,0,0,32,21,14,60.0,Matches,bayern munich
Sven Ulreich,de GER,GK,32.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,0,100.0,Matches,bayern munich
Omar Richards,eng ENG,DF,23.0,4.9,1,0,0,15,22,0,8,4,12,0,0,0,28,2,5,28.6,Matches,bayern munich
Marc Roca,es ESP,MF,24.0,4.2,0,0,0,10,4,0,5,6,7,0,0,0,31,0,5,0.0,Matches,bayern munich
Eric Maxim Choupo-Moting,cm CMR,"FW,MF",32.0,4.2,0,0,0,7,7,2,3,5,9,0,0,0,14,8,12,40.0,Matches,bayern munich
Malik Tillman,us USA,"FW,MF",19.0,1.2,0,0,0,4,1,0,0,2,1,0,0,0,11,3,1,75.0,Matches,bayern munich
Bouna Sarr,sn SEN,DF,29.0,0.7,0,0,0,0,0,0,3,6,4,0,0,0,6,0,2,0.0,Matches,bayern munich
Paul Wanner,de GER,"FW,MF",15.0,0.4,0,0,0,1,1,0,1,0,2,0,0,0,3,0,2,0.0,Matches,bayern munich
Gabriel Vidovic,hr CRO,"FW,MF",17.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0,Matches,bayern munich
Lucas Copado,de GER,FW,17.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches,bayern munich
Mickaël Cuisance,fr FRA,MF,21.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches,bayern munich
Christian Früchtl,de GER,GK,21.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,bayern munich
Gregor Kobel,ch SUI,GK,23.0,28.5,0,0,0,1,6,0,0,1,0,0,1,0,71,3,0,100.0,Matches,dortmund
Marco Reus,de GER,"MF,FW",32.0,27.8,2,0,0,22,44,10,40,12,30,3,0,0,112,8,24,25.0,Matches,dortmund
Manuel Akanji,ch SUI,DF,26.0,25.1,3,0,0,19,24,1,3,35,23,0,0,1,164,51,35,59.3,Matches,dortmund
Julian Brandt,de GER,"MF,FW",25.0,23.1,3,0,0,12,16,2,128,24,19,0,0,0,129,15,24,38.5,Matches,dortmund
Axel Witsel,be BEL,"MF,DF",32.0,21.6,4,0,0,26,30,1,0,27,27,0,2,0,152,31,15,67.4,Matches,dortmund
Erling Haaland,no NOR,FW,21.0,21.2,3,0,0,17,14,14,8,1,1,0,0,0,40,38,27,58.5,Matches,dortmund
Raphaël Guerreiro,pt POR,DF,27.0,19.9,1,0,0,12,8,1,39,25,19,0,0,0,130,5,6,45.5,Matches,dortmund
Mats Hummels,de GER,DF,32.0,19.6,4,0,0,16,12,1,1,32,22,0,2,0,128,64,34,65.3,Matches,dortmund
Donyell Malen,nl NED,FW,22.0,18.7,2,0,0,10,31,9,27,10,10,2,0,0,62,9,18,33.3,Matches,dortmund
Mahmoud Dahoud,de GER,MF,25.0,18.4,7,1,1,23,13,0,29,17,19,0,0,0,142,11,15,42.3,Matches,dortmund
Emre Can,de GER,"DF,MF",27.0,18.8,5,0,0,32,21,1,7,36,22,0,0,0,166,31,15,67.4,Matches,dortmund
Thomas Meunier,be BEL,DF,29.0,15.6,4,0,0,27,7,1,45,12,19,0,0,0,121,24,10,70.6,Matches,dortmund
Marius Wolf,de GER,"DF,FW",26.0,14.7,4,0,0,17,17,4,25,13,10,1,0,0,64,7,14,33.3,Matches,dortmund
Thorgan Hazard,be BEL,"FW,DF",28.0,14.9,2,0,0,22,19,11,71,6,13,0,0,0,77,23,21,52.3,Matches,dortmund
Dan-Axel Zagadou,fr FRA,DF,22.0,10.6,2,0,0,12,5,0,1,15,7,0,1,0,84,37,13,74.0,Matches,dortmund
Nico Schulz,de GER,DF,28.0,9.3,2,0,0,13,5,0,13,11,12,0,0,0,58,8,8,50.0,Matches,dortmund
Marin Pongračić,hr CRO,DF,23.0,9.2,3,0,0,12,0,0,0,17,10,0,0,0,65,10,11,47.6,Matches,dortmund
Gio Reyna,us USA,MF,18.0,4.9,0,0,0,7,11,1,20,1,4,0,0,0,27,5,7,41.7,Matches,dortmund
Felix Passlack,de GER,DF,23.0,5.2,0,0,0,5,8,1,13,4,9,0,0,1,27,1,3,25.0,Matches,dortmund
Marwin Hitz,ch SUI,GK,33.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0.0,Matches,dortmund
Youssoufa Moukoko,de GER,"FW,MF",16.0,2.5,1,0,0,5,5,5,0,3,0,0,0,0,6,0,3,0.0,Matches,dortmund
Reinier,br BRA,"FW,MF",19.0,1.8,0,0,0,2,2,0,0,0,3,0,0,0,14,1,3,25.0,Matches,dortmund
Jamie Bynoe-Gittens,eng ENG,FW,16.0,1.5,0,0,0,2,6,0,0,1,2,0,0,0,5,2,2,50.0,Matches,dortmund
Tom Rothe,de GER,DF,16.0,1.0,1,0,0,3,1,3,5,2,3,0,0,0,5,0,0,,Matches,dortmund
Roman Bürki,ch SUI,GK,30.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches,dortmund
Ansgar Knauff,de GER,"FW,MF",19.0,1.3,0,0,0,4,1,1,0,0,1,0,0,0,3,3,2,60.0,Matches,dortmund
Steffen Tigges,de GER,"FW,MF",23.0,1.2,0,0,0,1,1,1,1,0,3,0,0,0,2,3,9,25.0,Matches,dortmund
Thomas Delaney,dk DEN,MF,29.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,dortmund
Antonios Papadopoulos,de GER,"DF,MF",21.0,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,dortmund
Lennard Maloney,us USA,DF,21.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,50.0,Matches,dortmund
Lion Semić,de GER,DF,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,dortmund
Lukáš Hrádecký,fi FIN,GK,31.0,32.0,1,0,0,0,2,0,0,0,1,0,0,0,55,8,0,100.0,Matches,bayer leverkusen
Moussa Diaby,fr FRA,"FW,MF",22.0,30.7,10,1,1,38,25,17,82,8,11,0,0,0,119,6,20,23.1,Matches,bayer leverkusen
Patrik Schick,cz CZE,FW,25.0,23.1,0,0,0,13,22,6,3,3,2,0,0,0,34,55,73,43.0,Matches,bayer leverkusen
