Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Aleksandar Mitrović,rs SRB,FW,26.0,42.5,10,0,0,48,40,24,1,6,9,2.0,0.0,0,100.0,129.0,154.0,45.6,Matches,fulham
Tosin Adarabioyo,eng ENG,DF,23.0,40.9,3,1,0,19,9,0,3,50,27,0.0,1.0,1,200.0,122.0,42.0,74.4,Matches,fulham
Harry Wilson,wls WAL,FW,24.0,38.6,6,1,0,38,73,16,162,27,40,1.0,1.0,0,165.0,15.0,33.0,31.3,Matches,fulham
Antonee Robinson,us USA,DF,23.0,33.7,6,0,0,19,18,1,150,61,31,0.0,1.0,0,227.0,46.0,47.0,49.5,Matches,fulham
Marek Rodák,sk SVK,GK,24.0,33.0,1,0,0,0,3,0,0,0,0,0.0,0.0,0,34.0,6.0,0.0,100.0,Matches,fulham
Fabio Carvalho,pt POR,MF,18.0,31.5,5,0,0,34,64,2,19,19,22,0.0,0.0,0,110.0,20.0,59.0,25.3,Matches,fulham
Harrison Reed,eng ENG,MF,26.0,29.9,7,0,0,36,25,0,57,36,31,0.0,0.0,0,201.0,21.0,40.0,34.4,Matches,fulham
Neeskens Kebano,cd COD,FW,29.0,30.2,1,0,0,39,50,15,154,12,27,1.0,0.0,0,133.0,17.0,45.0,27.4,Matches,fulham
Bobby Reid,jm JAM,"FW,MF",28.0,28.0,4,0,0,29,22,9,40,17,12,0.0,0.0,0,131.0,9.0,31.0,22.5,Matches,fulham
Jean Seri,ci CIV,MF,30.0,24.4,2,0,0,29,24,0,99,28,27,0.0,0.0,0,180.0,21.0,16.0,56.8,Matches,fulham
Denis Odoi,gh GHA,DF,33.0,16.3,6,0,0,25,20,0,26,18,23,1.0,1.0,0,82.0,44.0,50.0,46.8,Matches,fulham
Tom Cairney,sct SCO,MF,30.0,17.2,2,0,0,12,13,0,37,4,12,0.0,0.0,0,93.0,10.0,12.0,45.5,Matches,fulham
Kenny Tete,nl NED,DF,25.0,14.9,1,0,0,18,16,0,61,21,20,0.0,0.0,0,102.0,19.0,21.0,47.5,Matches,fulham
Neco Williams,wls WAL,DF,20.0,13.2,2,0,0,16,11,1,64,18,19,0.0,0.0,0,70.0,17.0,16.0,51.5,Matches,fulham
