Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Daley Blind,nl NED,DF,31.0,31.2,2,0,0,14,20,2,73,44,25,0.0,0.0,0,220.0,51.0,37.0,58.0,Matches,ajax
Sébastien Haller,ci CIV,FW,27.0,28.5,4,0,0,29,33,11,6,2,7,1.0,0.0,0,91.0,114.0,65.0,63.7,Matches,ajax
Jurriën Timber,nl NED,DF,20.0,28.3,0,0,0,26,33,0,4,50,42,1.0,0.0,0,259.0,46.0,30.0,60.5,Matches,ajax
Steven Berghuis,nl NED,"MF,FW",29.0,26.5,0,0,0,14,24,4,144,9,18,1.0,0.0,0,150.0,10.0,10.0,50.0,Matches,ajax
Edson Álvarez,mx MEX,MF,23.0,25.9,5,0,0,28,15,2,3,43,40,0.0,0.0,0,209.0,102.0,51.0,66.7,Matches,ajax
Ryan Gravenberch,nl NED,MF,19.0,24.5,4,0,0,26,24,1,40,19,25,0.0,0.0,0,144.0,35.0,19.0,64.8,Matches,ajax
Noussair Mazraoui,ma MAR,DF,23.0,21.7,2,0,0,21,23,4,59,19,33,0.0,0.0,0,147.0,44.0,26.0,62.9,Matches,ajax
Lisandro Martínez,ar ARG,DF,23.0,21.2,4,0,0,18,12,0,6,46,29,0.0,0.0,0,198.0,80.0,32.0,71.4,Matches,ajax
Antony,br BRA,FW,21.0,19.2,5,1,1,20,29,6,101,12,11,1.0,0.0,0,101.0,18.0,11.0,62.1,Matches,ajax
Remko Pasveer,nl NED,GK,37.0,20.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,30.0,0.0,0.0,,Matches,ajax
Davy Klaassen,nl NED,MF,28.0,20.0,4,0,0,17,8,7,4,14,17,0.0,0.0,0,100.0,19.0,16.0,54.3,Matches,ajax
Perr Schuurs,nl NED,DF,21.0,11.6,0,0,0,3,8,1,1,12,9,0.0,0.0,0,100.0,25.0,25.0,50.0,Matches,ajax
Nicolás Tagliafico,ar ARG,DF,28.0,10.4,0,0,0,10,12,0,31,10,17,0.0,0.0,0,71.0,17.0,13.0,56.7,Matches,ajax
Devyne Rensch,nl NED,DF,18.0,8.9,1,0,0,7,5,2,5,18,17,1.0,0.0,0,66.0,7.0,8.0,46.7,Matches,ajax
Maarten Stekelenburg,nl NED,GK,38.0,7.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,7.0,1.0,0.0,100.0,Matches,ajax
André Onana,cm CMR,GK,25.0,6.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,8.0,0.0,0.0,,Matches,ajax
Kenneth Taylor,nl NED,MF,19.0,6.5,0,0,0,14,11,0,7,4,8,1.0,0.0,0,48.0,6.0,5.0,54.5,Matches,ajax
Kudus Mohammed,gh GHA,MF,20.0,4.7,0,0,0,3,11,3,1,2,7,0.0,0.0,0,51.0,4.0,7.0,36.4,Matches,ajax
Brian Brobbey,nl NED,FW,19.0,4.4,1,0,0,7,10,6,0,2,7,0.0,0.0,0,13.0,8.0,10.0,44.4,Matches,ajax
David Neres,br BRA,FW,24.0,5.3,1,0,0,2,5,7,21,1,7,0.0,0.0,0,33.0,1.0,5.0,16.7,Matches,ajax
Youri Regeer,nl NED,DF,17.0,1.7,0,0,0,0,2,0,1,4,2,0.0,0.0,0,6.0,1.0,0.0,100.0,Matches,ajax
Danilo,br BRA,"FW,MF",22.0,3.1,0,0,0,1,2,0,1,2,1,1.0,0.0,0,17.0,5.0,12.0,29.4,Matches,ajax
Jay Gorter,nl NED,GK,21.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches,ajax
Mohammed Daramy,dk DEN,"FW,MF",19.0,2.3,0,0,0,0,3,0,9,0,1,0.0,0.0,0,10.0,0.0,1.0,0.0,Matches,ajax
Liam van Gelderen,nl NED,DF,20.0,0.6,0,0,0,1,1,0,1,2,1,0.0,0.0,0,4.0,1.0,0.0,100.0,Matches,ajax
Zakaria Labyad,ma MAR,MF,28.0,0.3,0,0,0,0,1,0,0,1,0,0.0,0.0,0,4.0,0.0,0.0,,Matches,ajax
Anass Salah-Eddine,nl NED,DF,19.0,0.3,0,0,0,0,0,0,1,0,1,0.0,0.0,0,1.0,0.0,1.0,0.0,Matches,ajax
Victor Jensen,dk DEN,MF,21.0,0.2,0,0,0,1,0,0,0,0,1,0.0,0.0,0,2.0,0.0,0.0,,Matches,ajax
Olivier Boscagli,fr FRA,"DF,MF",23.0,26.2,2,0,0,16,17,0,10,69,25,0.0,0.0,0,272.0,48.0,32.0,60.0,Matches,psv eindhoven
Joel Drommel,nl NED,GK,24.0,26.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,32.0,6.0,1.0,85.7,Matches,psv eindhoven
Mario Götze,de GER,MF,29.0,24.6,4,0,0,23,29,4,35,7,21,0.0,0.0,0,127.0,7.0,11.0,38.9,Matches,psv eindhoven
Mauro Júnior,br BRA,DF,22.0,23.5,3,0,0,20,17,2,77,30,47,0.0,1.0,0,186.0,26.0,21.0,55.3,Matches,psv eindhoven
Jordan Teze,nl NED,DF,21.0,22.7,4,0,0,11,7,0,24,22,12,0.0,0.0,0,166.0,28.0,11.0,71.8,Matches,psv eindhoven
Cody Gakpo,nl NED,FW,22.0,21.2,1,0,0,15,32,10,140,16,9,0.0,0.0,0,97.0,24.0,34.0,41.4,Matches,psv eindhoven
Philipp Max,de GER,DF,27.0,20.0,4,0,0,14,11,3,92,19,29,0.0,0.0,0,135.0,20.0,20.0,50.0,Matches,psv eindhoven
Eran Zahavi,il ISR,FW,34.0,16.8,0,0,0,11,6,9,3,0,3,0.0,0.0,1,46.0,13.0,27.0,32.5,Matches,psv eindhoven
Erick Gutiérrez,mx MEX,"MF,DF",26.0,19.3,3,0,0,24,17,2,1,37,31,0.0,0.0,0,132.0,38.0,26.0,59.4,Matches,psv eindhoven
André Ramalho,br BRA,DF,29.0,18.8,4,0,0,14,9,0,7,27,15,0.0,0.0,1,158.0,47.0,37.0,56.0,Matches,psv eindhoven
Ritsu Doan,jp JPN,"FW,MF",23.0,16.8,0,0,0,19,36,4,29,8,30,0.0,0.0,0,77.0,6.0,11.0,35.3,Matches,psv eindhoven
Phillipp Mwene,at AUT,DF,27.0,15.7,0,0,0,17,14,0,49,29,25,1.0,0.0,0,99.0,13.0,17.0,43.3,Matches,psv eindhoven
Marco van Ginkel,nl NED,MF,28.0,11.0,3,0,0,18,17,0,3,11,14,0.0,0.0,0,65.0,38.0,12.0,76.0,Matches,psv eindhoven
Bruma,pt POR,"FW,MF",26.0,14.1,1,0,0,4,12,5,19,5,6,0.0,0.0,0,70.0,6.0,12.0,33.3,Matches,psv eindhoven
Joey Veerman,nl NED,"MF,FW",22.0,11.5,0,0,0,4,6,0,52,16,17,0.0,0.0,0,85.0,9.0,8.0,52.9,Matches,psv eindhoven
Noni Madueke,eng ENG,FW,19.0,9.1,0,0,0,8,10,0,17,5,10,0.0,0.0,0,49.0,5.0,1.0,83.3,Matches,psv eindhoven
Carlos Vinícius,br BRA,FW,26.0,12.3,5,0,0,13,10,10,4,2,4,0.0,0.0,0,28.0,20.0,31.0,39.2,Matches,psv eindhoven
Armando Obispo,nl NED,DF,22.0,11.8,4,0,0,7,6,0,1,24,9,0.0,0.0,0,57.0,39.0,10.0,79.6,Matches,psv eindhoven
Yvon Mvogo,ch SUI,GK,27.0,8.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,10.0,2.0,0.0,100.0,Matches,psv eindhoven
