Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Éder Militão,br BRA,DF,23.0,33.7,5,0,0,38,39,1,11,52,32,1.0,0.0,0,204.0,83.0,38.0,68.6,Matches,real madrid
Karim Benzema,fr FRA,FW,33.0,28.8,0,0,0,13,9,31,10,4,9,0.0,0.0,0,44.0,18.0,30.0,37.5,Matches,real madrid
Casemiro,br BRA,MF,29.0,28.5,11,0,0,54,38,4,17,38,51,1.0,0.0,0,230.0,101.0,50.0,66.9,Matches,real madrid
Vinicius Júnior,br BRA,FW,21.0,29.9,6,0,0,34,74,26,44,6,24,4.0,0.0,0,105.0,3.0,8.0,27.3,Matches,real madrid
David Alaba,at AUT,DF,29.0,29.4,2,0,0,16,6,2,40,22,13,0.0,0.0,0,141.0,14.0,22.0,38.9,Matches,real madrid
Toni Kroos,de GER,MF,31.0,23.4,4,0,0,20,39,0,86,12,26,0.0,0.0,0,125.0,8.0,10.0,44.4,Matches,real madrid
Luka Modrić,hr CRO,MF,35.0,22.6,4,0,0,24,32,1,48,20,10,0.0,0.0,0,123.0,6.0,14.0,30.0,Matches,real madrid
Lucas Vázquez,es ESP,DF,30.0,20.4,3,0,0,26,34,5,75,20,22,0.0,0.0,0,103.0,2.0,9.0,18.2,Matches,real madrid
Ferland Mendy,fr FRA,DF,26.0,19.3,4,0,0,15,24,3,28,18,14,1.0,1.0,0,98.0,11.0,13.0,45.8,Matches,real madrid
Federico Valverde,uy URU,MF,23.0,20.4,2,0,0,17,9,6,20,24,16,0.0,0.0,0,127.0,15.0,8.0,65.2,Matches,real madrid
Marco Asensio,es ESP,"FW,MF",25.0,19.2,2,0,0,8,20,2,71,12,8,0.0,0.0,0,83.0,0.0,9.0,0.0,Matches,real madrid
Nacho,es ESP,DF,31.0,17.3,7,0,0,15,13,0,11,34,14,0.0,0.0,0,95.0,28.0,19.0,59.6,Matches,real madrid
Dani Carvajal,es ESP,DF,29.0,17.2,1,0,0,19,11,0,40,20,28,0.0,1.0,0,97.0,14.0,14.0,50.0,Matches,real madrid
Rodrygo,br BRA,FW,20.0,16.9,4,0,0,20,29,13,41,11,14,3.0,0.0,0,72.0,14.0,25.0,35.9,Matches,real madrid
Eduardo Camavinga,fr FRA,MF,18.0,13.7,8,0,0,35,29,1,3,17,35,0.0,0.0,0,85.0,28.0,13.0,68.3,Matches,real madrid
Eden Hazard,be BEL,"FW,MF",30.0,8.0,3,0,0,9,30,4,12,2,3,0.0,0.0,0,24.0,1.0,6.0,14.3,Matches,real madrid
Marcelo,br BRA,DF,33.0,5.8,0,0,0,3,8,0,29,1,4,0.0,0.0,0,32.0,3.0,4.0,42.9,Matches,real madrid
Jesús Vallejo,es ESP,DF,24.0,3.8,1,0,0,4,1,0,1,6,5,0.0,1.0,0,20.0,11.0,4.0,73.3,Matches,real madrid
Gareth Bale,wls WAL,FW,32.0,3.1,2,0,0,3,0,1,3,2,1,0.0,0.0,0,4.0,7.0,5.0,58.3,Matches,real madrid
Mariano,do DOM,FW,27.0,3.8,2,0,0,2,0,4,1,1,0,0.0,0.0,0,4.0,9.0,4.0,69.2,Matches,real madrid
