Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Marquinhos,br BRA,DF,27.0,31.8,5,0,0,6,11,1,6,16,14,0.0,0.0,0,181.0,41.0,39.0,51.3,Matches,paris saint germain
Presnel Kimpembe,fr FRA,DF,25.0,28.6,6,0,0,28,26,0,2,38,19,0.0,2.0,0,138.0,49.0,20.0,71.0,Matches,paris saint germain
Achraf Hakimi,ma MAR,DF,22.0,27.5,3,1,0,20,14,6,52,28,51,0.0,0.0,0,123.0,9.0,20.0,31.0,Matches,paris saint germain
Lionel Messi,ar ARG,"FW,MF",34.0,23.9,0,0,0,6,35,10,32,4,3,0.0,0.0,0,55.0,4.0,3.0,57.1,Matches,paris saint germain
Marco Verratti,it ITA,MF,28.0,21.5,12,0,0,32,48,1,9,18,40,0.0,0.0,1,127.0,5.0,11.0,31.3,Matches,paris saint germain
Danilo Pereira,pt POR,MF,29.0,22.6,2,0,0,22,23,1,0,37,17,0.0,0.0,0,163.0,31.0,16.0,66.0,Matches,paris saint germain
Neymar,br BRA,"FW,MF",29.0,20.6,10,0,0,31,70,11,64,4,19,1.0,0.0,0,84.0,5.0,4.0,55.6,Matches,paris saint germain
Keylor Navas,cr CRC,GK,34.0,20.6,0,1,0,1,1,0,0,0,0,0.0,0.0,0,36.0,2.0,0.0,100.0,Matches,paris saint germain
Ángel Di María,ar ARG,FW,33.0,18.3,2,0,0,9,14,7,122,6,18,1.0,0.0,0,71.0,0.0,0.0,,Matches,paris saint germain
Nuno Mendes,pt POR,DF,19.0,18.4,3,0,0,19,24,1,39,21,29,0.0,0.0,0,109.0,10.0,11.0,47.6,Matches,paris saint germain
Georginio Wijnaldum,nl NED,MF,30.0,18.4,2,0,0,6,15,0,1,9,9,0.0,1.0,0,74.0,11.0,5.0,68.8,Matches,paris saint germain
Idrissa Gana Gueye,sn SEN,MF,31.0,18.2,4,0,0,38,16,1,2,24,36,0.0,0.0,0,127.0,8.0,15.0,34.8,Matches,paris saint germain
Gianluigi Donnarumma,it ITA,GK,22.0,17.0,3,0,0,0,2,0,0,0,0,0.0,0.0,0,25.0,3.0,0.0,100.0,Matches,paris saint germain
Thilo Kehrer,de GER,DF,24.0,16.8,0,0,0,15,6,0,5,24,14,0.0,0.0,0,70.0,26.0,21.0,55.3,Matches,paris saint germain
Ander Herrera,es ESP,MF,31.0,12.1,2,0,0,14,5,3,6,14,17,0.0,0.0,0,72.0,2.0,3.0,40.0,Matches,paris saint germain
Juan Bernat,es ESP,"DF,MF",28.0,10.6,2,0,0,4,9,1,12,8,14,0.0,0.0,0,37.0,8.0,8.0,50.0,Matches,paris saint germain
Mauro Icardi,ar ARG,FW,28.0,11.4,1,0,0,14,7,9,2,5,3,0.0,0.0,0,19.0,5.0,9.0,35.7,Matches,paris saint germain
Abdou Diallo,sn SEN,DF,25.0,9.7,1,0,0,12,3,0,18,10,14,0.0,0.0,0,45.0,14.0,6.0,70.0,Matches,paris saint germain
Leandro Paredes,ar ARG,MF,27.0,9.3,3,0,0,10,8,0,0,10,13,0.0,0.0,0,86.0,5.0,3.0,62.5,Matches,paris saint germain
Sergio Ramos,es ESP,DF,35.0,8.9,3,1,1,11,4,1,0,8,5,0.0,0.0,0,46.0,14.0,7.0,66.7,Matches,paris saint germain
Julian Draxler,de GER,"FW,MF",27.0,6.1,0,0,0,4,1,1,5,5,2,0.0,0.0,0,26.0,1.0,4.0,20.0,Matches,paris saint germain
Junior Dina Ebimbe,fr FRA,MF,20.0,3.5,2,0,0,11,4,0,2,2,4,0.0,0.0,0,12.0,1.0,1.0,50.0,Matches,paris saint germain
