Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Otávio,pt POR,"MF,FW",26.0,29.5,8.0,0.0,0.0,77.0,64.0,1.0,74.0,21.0,60.0,1.0,0.0,0.0,171.0,36.0,46.0,43.9,Matches,porto
Chancel Mbemba,cd COD,DF,26.0,30.9,3.0,0.0,0.0,21.0,6.0,0.0,4.0,25.0,15.0,0.0,1.0,0.0,163.0,34.0,40.0,45.9,Matches,porto
Mehdi Taremi,ir IRN,FW,29.0,26.9,5.0,1.0,1.0,29.0,49.0,14.0,3.0,14.0,2.0,5.0,0.0,0.0,80.0,46.0,51.0,47.4,Matches,porto
Vitinha,pt POR,MF,21.0,25.0,3.0,0.0,0.0,38.0,15.0,2.0,94.0,36.0,30.0,0.0,0.0,0.0,200.0,11.0,12.0,47.8,Matches,porto
Evanilson,br BRA,FW,21.0,22.5,2.0,0.0,0.0,30.0,58.0,10.0,4.0,5.0,17.0,0.0,0.0,0.0,68.0,26.0,57.0,31.3,Matches,porto
João Mário Lopes,pt POR,DF,21.0,22.9,4.0,0.0,0.0,22.0,36.0,1.0,77.0,28.0,28.0,0.0,0.0,0.0,121.0,25.0,24.0,51.0,Matches,porto
Mateus Uribe,co COL,MF,30.0,22.1,6.0,1.0,0.0,37.0,16.0,0.0,14.0,35.0,41.0,0.0,0.0,0.0,193.0,46.0,35.0,56.8,Matches,porto
Pepe,pt POR,DF,38.0,19.9,8.0,1.0,0.0,15.0,15.0,3.0,3.0,26.0,14.0,0.0,0.0,0.0,139.0,33.0,26.0,55.9,Matches,porto
Zaidu Sanusi,ng NGA,DF,24.0,19.0,2.0,0.0,0.0,24.0,14.0,6.0,42.0,29.0,17.0,0.0,1.0,0.0,118.0,25.0,19.0,56.8,Matches,porto
Luis Díaz,co COL,"MF,FW",24.0,16.6,2.0,0.0,0.0,29.0,26.0,8.0,22.0,4.0,5.0,1.0,0.0,0.0,73.0,33.0,30.0,52.4,Matches,porto
Pepê,br BRA,"MF,DF",24.0,15.1,3.0,0.0,0.0,21.0,17.0,2.0,19.0,14.0,11.0,0.0,0.0,0.0,84.0,10.0,14.0,41.7,Matches,porto
Fabio Vieira,pt POR,"MF,FW",21.0,14.8,2.0,0.0,0.0,20.0,44.0,2.0,93.0,10.0,14.0,1.0,0.0,0.0,59.0,8.0,10.0,44.4,Matches,porto
Fábio Cardoso,pt POR,DF,27.0,12.0,3.0,0.0,0.0,12.0,3.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,41.0,18.0,30.0,37.5,Matches,porto
Wendell,br BRA,DF,28.0,10.6,6.0,0.0,0.0,22.0,15.0,1.0,27.0,13.0,18.0,0.0,1.0,0.0,52.0,16.0,7.0,69.6,Matches,porto
Marko Grujić,rs SRB,MF,25.0,9.9,5.0,1.0,1.0,22.0,7.0,0.0,0.0,16.0,15.0,1.0,0.0,0.0,72.0,56.0,20.0,73.7,Matches,porto
Bruno Xavier Almeida Costa,pt POR,"MF,DF",24.0,7.5,4.0,0.0,0.0,19.0,12.0,0.0,17.0,8.0,8.0,0.0,0.0,0.0,41.0,5.0,4.0,55.6,Matches,porto
Iván Marcano,es ESP,DF,34.0,7.3,2.0,0.0,0.0,8.0,2.0,0.0,10.0,10.0,7.0,0.0,0.0,0.0,35.0,17.0,15.0,53.1,Matches,porto
Toni Martínez,es ESP,FW,24.0,5.3,3.0,1.0,1.0,15.0,2.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,14.0,27.0,20.0,57.4,Matches,porto
Sérgio Oliveira,pt POR,MF,29.0,4.4,2.0,0.0,0.0,10.0,8.0,0.0,36.0,4.0,14.0,0.0,0.0,0.0,28.0,5.0,1.0,83.3,Matches,porto
Jesús Corona,mx MEX,"DF,MF",28.0,4.3,1.0,0.0,0.0,6.0,3.0,0.0,18.0,7.0,1.0,0.0,0.0,0.0,27.0,5.0,5.0,50.0,Matches,porto
Wilson Manafá,pt POR,DF,27.0,2.9,1.0,0.0,0.0,4.0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,14.0,2.0,4.0,33.3,Matches,porto
Francisco Conceição,pt POR,"MF,FW",18.0,5.5,1.0,0.0,0.0,10.0,14.0,0.0,12.0,1.0,7.0,0.0,0.0,0.0,28.0,2.0,5.0,28.6,Matches,porto
Cláudio Ramos,pt POR,GK,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,Matches,porto
Stephen Eustáquio,ca CAN,MF,24.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,9.0,4.0,6.0,40.0,Matches,porto
Galeno,br BRA,"MF,FW",23.0,3.5,1.0,0.0,0.0,6.0,8.0,1.0,6.0,2.0,3.0,0.0,0.0,0.0,16.0,6.0,5.0,54.5,Matches,porto
Gonçalo Borges,pt POR,MF,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,Matches,porto
João Miguel,pt POR,DF,21.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches,porto
Danny Loader,eng ENG,"FW,MF",20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,Matches,porto
Rúben Semedo,pt POR,DF,27.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,porto
Fernando,br BRA,FW,28.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches,porto
Agustín Marchesín,ar ARG,GK,33.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches,porto
Matheus Nunes,pt POR,MF,22.0,28.4,4.0,0.0,0.0,39.0,70.0,2.0,28.0,29.0,23.0,0.0,0.0,0.0,183.0,21.0,27.0,43.8,Matches,sporting cp
Sebastián Coates,uy URU,DF,30.0,29.3,9.0,1.0,1.0,27.0,17.0,1.0,0.0,42.0,28.0,0.0,0.0,0.0,172.0,94.0,37.0,71.8,Matches,sporting cp
Gonçalo Inácio,pt POR,DF,19.0,27.5,1.0,0.0,0.0,19.0,6.0,0.0,4.0,26.0,18.0,0.0,0.0,0.0,160.0,42.0,39.0,51.9,Matches,sporting cp
Paulinho,pt POR,"FW,MF",28.0,26.4,10.0,0.0,0.0,31.0,49.0,19.0,14.0,3.0,11.0,3.0,0.0,0.0,70.0,52.0,52.0,50.0,Matches,sporting cp
Pablo Sarabia,es ESP,"MF,FW",29.0,23.0,7.0,0.0,0.0,22.0,19.0,21.0,142.0,4.0,2.0,0.0,0.0,0.0,90.0,2.0,15.0,11.8,Matches,sporting cp
Pedro Gonçalves,pt POR,"MF,FW",23.0,22.4,4.0,0.0,0.0,18.0,20.0,2.0,71.0,14.0,16.0,1.0,0.0,0.0,88.0,2.0,17.0,10.5,Matches,sporting cp
