Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Rafael Leão,pt POR,FW,22.0,28.9,4,0,0,25,45,8,63,12,7,2.0,0.0,0,99.0,28.0,37.0,43.1,Matches,milan
Sandro Tonali,it ITA,MF,21.0,28.9,9,0,0,45,50,3,108,34,37,0.0,0.0,0,189.0,10.0,14.0,41.7,Matches,milan
Fikayo Tomori,eng ENG,DF,23.0,30.2,4,0,0,19,11,0,3,45,44,0.0,0.0,0,183.0,51.0,48.0,51.5,Matches,milan
Theo Hernández,fr FRA,DF,23.0,30.1,7,2,1,34,74,8,126,23,35,0.0,0.0,0,219.0,25.0,14.0,64.1,Matches,milan
Franck Kessié,ci CIV,MF,24.0,25.6,2,0,0,36,31,1,12,23,23,1.0,1.0,0,176.0,30.0,29.0,50.8,Matches,milan
Brahim Díaz,es ESP,MF,21.0,20.6,4,0,0,22,33,4,11,8,17,0.0,0.0,0,108.0,4.0,40.0,9.1,Matches,milan
Davide Calabria,it ITA,DF,24.0,23.5,2,0,0,15,28,1,53,23,37,0.0,0.0,0,140.0,10.0,27.0,27.0,Matches,milan
Olivier Giroud,fr FRA,FW,34.0,21.0,4,0,0,31,22,11,4,3,11,0.0,0.0,0,42.0,92.0,51.0,64.3,Matches,milan
Alexis Saelemaekers,be BEL,FW,22.0,20.7,2,0,0,29,37,1,63,15,22,0.0,0.0,0,120.0,9.0,14.0,39.1,Matches,milan
Pierre Kalulu,fr FRA,DF,21.0,21.6,4,0,0,16,6,2,22,26,36,0.0,0.0,0,150.0,22.0,41.0,34.9,Matches,milan
Alessio Romagnoli,it ITA,DF,26.0,15.7,4,1,0,17,13,3,1,19,14,0.0,1.0,0,79.0,46.0,19.0,70.8,Matches,milan
Ismaël Bennacer,dz ALG,MF,23.0,16.9,7,0,0,25,44,0,24,25,30,0.0,0.0,0,153.0,15.0,18.0,45.5,Matches,milan
Rade Krunić,ba BIH,"MF,FW",27.0,15.7,2,0,0,21,29,1,11,16,18,0.0,0.0,0,86.0,24.0,27.0,47.1,Matches,milan
Junior Messias,br BRA,"FW,MF",30.0,15.9,2,0,0,21,24,3,52,17,18,0.0,1.0,0,88.0,28.0,33.0,45.9,Matches,milan
Alessandro Florenzi,it ITA,"DF,FW",30.0,12.8,2,0,0,10,8,3,56,27,14,0.0,0.0,0,79.0,9.0,9.0,50.0,Matches,milan
Zlatan Ibrahimović,se SWE,FW,39.0,11.3,2,0,0,16,9,19,6,3,0,1.0,0.0,1,18.0,44.0,25.0,63.8,Matches,milan
Simon Kjær,dk DEN,DF,32.0,8.9,2,0,0,20,5,0,1,9,12,0.0,0.0,1,46.0,13.0,14.0,48.1,Matches,milan
Ante Rebić,hr CRO,FW,27.0,9.9,2,0,0,18,9,8,28,3,8,0.0,0.0,0,25.0,13.0,22.0,37.1,Matches,milan
Ciprian Tătărușanu,ro ROU,GK,35.0,6.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,8.0,0.0,0.0,,Matches,milan
Matteo Gabbia,it ITA,DF,21.0,6.0,3,0,0,7,2,0,0,8,3,0.0,0.0,0,25.0,13.0,8.0,61.9,Matches,milan
Tiemoué Bakayoko,fr FRA,MF,26.0,5.6,3,0,0,12,10,0,1,9,13,0.0,1.0,0,33.0,16.0,8.0,66.7,Matches,milan
Fodé Ballo-Touré,sn SEN,DF,24.0,5.0,2,0,0,12,10,1,18,3,14,0.0,1.0,0,35.0,5.0,9.0,35.7,Matches,milan
Daniel Maldini,it ITA,MF,19.0,1.6,1,0,0,4,1,1,1,1,3,0.0,0.0,0,5.0,3.0,5.0,37.5,Matches,milan
Pietro Pellegri,it ITA,FW,20.0,1.5,0,0,0,7,2,2,0,0,2,0.0,0.0,0,4.0,3.0,1.0,75.0,Matches,milan
Samu Castillejo,es ESP,"FW,MF",26.0,1.4,1,0,0,2,2,0,8,2,2,1.0,0.0,0,5.0,2.0,2.0,50.0,Matches,milan
Andrea Conti,it ITA,DF,27.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,milan
Nicolò Barella,it ITA,MF,24.0,32.4,9,0,0,30,52,4,66,21,42,1.0,0.0,0,190.0,22.0,24.0,47.8,Matches,internazionale
Milan Škriniar,sk SVK,DF,26.0,35.0,3,0,0,43,23,2,3,25,27,0.0,1.0,0,160.0,51.0,52.0,49.5,Matches,internazionale
Marcelo Brozović,hr CRO,MF,28.0,32.6,7,0,0,43,32,0,23,37,45,0.0,0.0,0,252.0,13.0,24.0,35.1,Matches,internazionale
Ivan Perišić,hr CRO,DF,32.0,31.3,4,0,0,29,6,13,150,47,22,0.0,0.0,0,167.0,55.0,32.0,63.2,Matches,internazionale
Hakan Çalhanoğlu,tr TUR,MF,27.0,27.6,11,0,0,36,26,0,196,25,23,1.0,0.0,0,187.0,10.0,21.0,32.3,Matches,internazionale
Alessandro Bastoni,it ITA,DF,22.0,25.7,4,0,0,30,28,0,29,35,25,0.0,1.0,0,152.0,43.0,26.0,62.3,Matches,internazionale
Stefan de Vrij,nl NED,DF,29.0,26.8,3,0,0,19,6,0,2,32,29,0.0,1.0,1,158.0,68.0,47.0,59.1,Matches,internazionale
