name,position,played_minutes,appearances,first_squad,substitute_in,substitute_out,goals,avg_goals,yellow_cards,yellow_red_cards,red_cards,club
A. Davies,Attacker,2047,26,24,2,7,1,0.04,0,0,0,bayern munich
A. Ibrahimović,Midfielder,13,1,0,1,0,0,0.0,0,0,0,bayern munich
B. Pavard,Defender,2071,26,23,3,3,4,0.15,5,0,0,bayern munich
B. Sarr,Defender,0,0,0,0,0,0,0.0,0,0,0,bayern munich
D. Blind,Defender,131,4,1,3,0,0,0.0,0,0,0,bayern munich
D. Upamecano,Defender,2250,26,26,0,1,0,0.0,6,0,1,bayern munich
E. Choupo-Moting,Attacker,1098,18,14,4,10,10,0.56,0,0,0,bayern munich
G. Marušić,Defender,0,0,0,0,0,0,0.0,0,0,0,bayern munich
J. Janitzek,Defender,0,0,0,0,0,0,0.0,0,0,0,bayern munich
J. Kimmich,Midfielder,2473,29,28,1,3,4,0.14,5,1,0,bayern munich
J. Musiala,Attacker,1939,29,23,6,18,11,0.38,1,0,0,bayern munich
J. Schenk,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,bayern munich
J. Stanišić,Defender,571,14,4,10,2,0,0.0,1,0,0,bayern munich
João Cancelo,Defender,720,11,8,3,5,1,0.09,2,0,0,bayern munich
K. Coman,Attacker,1140,20,12,8,10,7,0.35,1,1,0,bayern munich
L. Goretzka,Midfielder,1636,24,21,3,14,3,0.12,5,0,0,bayern munich
L. Hernández,Defender,479,7,6,1,4,0,0.0,1,0,0,bayern munich
L. Sané,Attacker,1781,28,18,10,9,7,0.25,4,0,0,bayern munich
Lovro Zvonarek,Midfielder,0,0,0,0,0,0,0.0,0,0,0,bayern munich
M. de Ligt,Defender,2049,27,23,4,4,3,0.11,4,0,0,bayern munich
M. Neuer,Goalkeeper,1080,12,12,0,0,0,0.0,0,0,0,bayern munich
M. Tel,Attacker,359,19,1,18,1,4,0.21,2,0,0,bayern munich
N. Mazraoui,Defender,721,15,7,8,4,0,0.0,0,0,0,bayern munich
P. Wanner,Midfielder,23,2,0,2,0,0,0.0,1,0,0,bayern munich
R. Gravenberch,Midfielder,377,20,1,19,1,0,0.0,1,0,0,bayern munich
S. Gnabry,Attacker,1622,30,18,12,11,10,0.33,0,0,0,bayern munich
S. Mané,Attacker,1335,22,17,5,13,7,0.32,2,0,0,bayern munich
S. Ulreich,Goalkeeper,270,3,3,0,0,0,0.0,1,0,0,bayern munich
T. Hülsmann,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,bayern munich
T. Müller,Attacker,1404,23,18,5,12,6,0.26,0,0,0,bayern munich
Y. Kabadayı,Attacker,0,0,0,0,0,0,0.0,0,0,0,bayern munich
