name,position,played_minutes,appearances,first_squad,substitute_in,substitute_out,goals,avg_goals,yellow_cards,yellow_red_cards,red_cards,club
A. Jahanbakhsh,Attacker,1069,24,11,13,9,5,0.21,2,0,0,feyenoord
A. Milambo,Midfielder,16,3,0,3,0,0,0.0,0,0,0,feyenoord
D. Hancko,Defender,2389,27,27,0,4,2,0.07,2,0,0,feyenoord
Danilo,Attacker,1284,30,14,16,14,8,0.27,0,0,0,feyenoord
E. Bullaude,Midfielder,144,9,0,9,0,0,0.0,0,0,0,feyenoord
G. Trauner,Defender,1606,19,18,1,1,0,0.0,4,0,0,feyenoord
Igor Paixão,Attacker,1037,24,12,12,12,6,0.25,2,0,0,feyenoord
J. Bijlow,Goalkeeper,1890,21,21,0,0,0,0.0,1,0,0,feyenoord
J. Dilrosun,Attacker,1824,28,23,5,17,5,0.18,1,0,0,feyenoord
J. Kroesen,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,feyenoord
J. Rasmussen,Defender,650,9,8,1,2,1,0.11,0,0,0,feyenoord
L. Geertruida,Defender,2213,26,25,1,3,3,0.12,1,0,0,feyenoord
M. Benita,Defender,50,2,0,2,0,0,0.0,0,0,0,feyenoord
M. López,Defender,751,17,6,11,3,0,0.0,1,0,0,feyenoord
M. Pedersen,Defender,1958,27,23,4,8,1,0.04,3,0,0,feyenoord
M. Taabouni,Midfielder,97,5,0,5,0,0,0.0,0,0,0,feyenoord
M. Wieffer,Midfielder,1400,22,15,7,5,1,0.05,4,0,0,feyenoord
N. Kasanwirjo,Defender,27,2,0,2,0,0,0.0,0,0,0,feyenoord
O. Idrissi,Attacker,1150,23,13,10,11,2,0.09,5,0,0,feyenoord
O. Kökçü,Midfielder,2340,28,27,1,6,8,0.29,6,0,0,feyenoord
O. Marciano,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,feyenoord
P. Wålemark,Attacker,586,15,4,11,4,2,0.13,1,0,0,feyenoord
Q. Hartman,Defender,1353,19,17,2,10,2,0.11,5,0,0,feyenoord
Q. Timber,Midfielder,1452,20,17,3,10,2,0.1,2,0,0,feyenoord
S. Giménez,Attacker,1565,28,17,11,11,12,0.43,2,0,0,feyenoord
S. Szymański,Midfielder,1694,25,20,5,10,9,0.36,2,0,0,feyenoord
T. Troost,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,feyenoord
T. Wellenreuther,Goalkeeper,810,9,9,0,0,0,0.0,0,0,0,feyenoord
A. El Ghazi,Attacker,949,19,10,9,9,7,0.37,2,0,0,psv
A. Obispo,Defender,1726,22,21,1,8,2,0.09,1,0,1,psv
André Ramalho,Defender,1505,24,16,8,5,0,0.0,1,0,0,psv
B. Waterman,Goalkeeper,0,0,0,0,0,0,0.0,1,0,0,psv
É. Gutiérrez,Midfielder,1353,27,12,15,4,2,0.07,4,0,0,psv
E. van de Blaak,Defender,0,0,0,0,0,0,0.0,0,0,0,psv
F. Fofana,Attacker,14,1,0,1,0,0,0.0,0,0,0,psv
F. Leysen,Defender,0,0,0,0,0,0,0.0,0,0,0,psv
Fábio Silva,Attacker,507,11,5,6,2,4,0.36,3,0,0,psv
G. Til,Midfielder,1482,26,15,11,9,9,0.35,4,0,0,psv
I. Saibari,Attacker,408,17,5,12,4,0,0.0,0,0,0,psv
I. Sangaré,Midfielder,2034,26,23,3,5,4,0.15,5,0,0,psv
J. Bakayoko,Attacker,1268,20,15,5,12,5,0.25,3,0,0,psv
J. Branthwaite,Defender,1627,23,17,6,2,2,0.09,2,0,0,psv
J. Drommel,Goalkeeper,360,4,4,0,0,0,0.0,0,0,0,psv
J. Seelt,Defender,0,0,0,0,0,0,0.0,0,0,0,psv
J. Teze,Defender,1890,24,21,3,4,0,0.0,2,0,0,psv
J. van Duiven,Attacker,0,0,0,0,0,0,0.0,0,0,0,psv
J. Veerman,Midfielder,2137,29,26,3,13,4,0.14,0,0,0,psv
K. Peersman,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,psv
L. Comenencia,Defender,0,0,0,0,0,0,0.0,0,0,0,psv
L. de Jong,Attacker,1455,20,19,1,13,12,0.6,3,0,0,psv
M. Nassoh,Midfielder,0,0,0,0,0,0,0.0,0,0,0,psv
M. Tielemans,Midfielder,0,0,0,0,0,0,0.0,0,0,0,psv
Mauro Júnior,Defender,271,6,3,3,1,0,0.0,0,0,1,psv
N. Schiks,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,psv
O. Boscagli,Defender,204,5,2,3,0,1,0.2,0,0,0,psv
P. Mwene,Defender,1420,21,17,4,5,0,0.0,0,0,0,psv
P. van Aanholt,Defender,849,11,9,2,3,1,0.09,1,0,0,psv
Sávio,Attacker,94,6,0,6,0,0,0.0,0,0,0,psv
T. Hazard,Attacker,158,7,1,6,1,1,0.14,0,0,0,psv
W. Benítez,Goalkeeper,2340,26,26,0,0,0,0.0,1,0,0,psv
X. Simons,Midfielder,2460,30,30,0,18,15,0.5,0,0,0,psv
D. de Wit,Midfielder,1128,15,15,0,7,5,0.33,3,0,1,az
D. Deen,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,az
D. Mihailovic,Midfielder,488,11,5,6,5,1,0.09,1,0,0,az
E. Poku,Attacker,0,0,0,0,0,0,0.0,0,0,0,az
F. de Jong,Midfielder,75,2,1,1,1,0,0.0,0,0,0,az
H. Verhulst,Goalkeeper,1440,16,16,0,0,0,0.0,0,0,0,az
I. Griffith,Attacker,0,0,0,0,0,0,0.0,0,0,0,az
J. Clasie,Midfielder,2547,29,29,0,6,1,0.03,6,0,0,az
J. Karlsson,Attacker,1588,20,19,1,13,6,0.3,4,0,0,az
J. Odgaard,Attacker,2052,27,26,1,19,9,0.33,1,0,0,az
L. Schouten,Midfielder,0,0,0,0,0,0,0.0,0,0,0,az
M. de Wit,Defender,514,22,2,20,1,2,0.09,2,0,0,az
M. Dekker,Defender,844,13,10,3,4,1,0.08,0,0,0,az
M. Kerkez,Defender,2327,29,29,0,17,3,0.1,4,0,0,az
M. Lahdo,Attacker,441,22,1,21,1,2,0.09,1,0,0,az
M. Meerdink,Attacker,141,4,1,3,2,0,0.0,1,0,0,az
M. Ryan,Goalkeeper,1260,14,14,0,0,0,0.0,0,0,0,az
M. van Brederode,Attacker,915,21,12,9,10,3,0.14,1,0,0,az
P. Hatzidiakos,Defender,2518,30,30,0,8,0,0.0,4,0,0,az
R. Bazoer,Midfielder,280,13,1,12,1,0,0.0,1,0,0,az
R. Owusu-Oduro,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,az
Rolando Maximiliano Martins Indi,Defender,315,4,4,0,1,0,0.0,1,0,0,az
S. Beukema,Defender,1851,22,20,2,1,0,0.0,2,0,0,az
S. Mijnans,Midfielder,891,11,10,1,3,3,0.27,1,0,0,az
S. Westerveld,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,az
T. Reijnders,Midfielder,2694,30,30,0,1,3,0.1,4,0,0,az
V. Pavlidis,Attacker,1568,21,18,3,9,12,0.57,2,0,0,az
W. Goes,Defender,569,7,7,0,2,1,0.14,1,0,0,az
Y. Barası,Attacker,176,11,0,11,0,0,0.0,0,0,0,az
Y. Sugawara,Defender,2075,27,22,5,3,3,0.11,5,0,0,az
Z. Buurmeester,Midfielder,55,7,0,7,0,1,0.14,0,0,0,az
Z. Vanheusden,Defender,213,6,2,4,2,0,0.0,1,0,0,az
A. Kaplan,Defender,0,0,0,0,0,0,0.0,0,0,0,ajax
A. Martha,Attacker,0,0,0,0,0,0,0.0,0,0,0,ajax
