name,position,played_minutes,appearances,first_squad,substitute_in,substitute_out,goals,avg_goals,yellow_cards,yellow_red_cards,red_cards,club
A. Christensen,Defender,1377,18,17,1,5,1,0.06,2,0,0,barcelona
Aleix Garrido,Midfielder,6,1,0,1,0,0,0.0,0,0,0,barcelona
Alejandro Balde,Defender,2190,29,26,3,8,0,0.0,4,0,0,barcelona
Ander Astralaga,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,barcelona
Ángel Alarcón,Attacker,22,4,0,4,0,0,0.0,0,0,0,barcelona
Ansu Fati,Attacker,1217,31,11,20,10,4,0.13,3,0,0,barcelona
Arnau Tenas,Goalkeeper,0,0,0,0,0,0,0.0,1,0,0,barcelona
C. Riad,Defender,1,1,0,1,0,0,0.0,0,0,0,barcelona
Eric García,Defender,1240,20,13,7,4,1,0.05,3,0,0,barcelona
Estanis,Attacker,0,0,0,0,0,0,0.0,0,0,0,barcelona
F. de Jong,Midfielder,2088,28,24,4,9,2,0.07,2,0,0,barcelona
F. Kessié,Midfielder,778,24,5,19,5,1,0.04,4,0,0,barcelona
Ferran Torres,Attacker,1260,29,13,16,8,4,0.14,4,0,1,barcelona
Gavi,Midfielder,2256,32,27,5,15,1,0.03,9,0,0,barcelona
Ilias Akhomach,Attacker,0,0,0,0,0,0,0.0,0,0,0,barcelona
Iñaki Peña,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,barcelona
J. Koundé,Defender,2113,25,24,1,3,0,0.0,1,0,0,barcelona
Jordi Alba,Defender,1219,21,12,9,6,2,0.1,4,1,0,barcelona
Lamine Yamal,Attacker,7,1,0,1,0,0,0.0,0,0,0,barcelona
M. ter Stegen,Goalkeeper,2970,33,33,0,0,0,0.0,0,0,0,barcelona
Marc Casadó,Midfielder,0,0,0,0,0,0,0.0,0,0,0,barcelona
Marcos Alonso,Defender,913,19,9,10,3,1,0.05,2,0,0,barcelona
O. Dembélé,Attacker,1162,20,14,6,11,5,0.25,4,0,0,barcelona
Pablo Torre,Midfielder,54,5,0,5,0,0,0.0,0,0,0,barcelona
Pedri,Midfielder,1894,25,21,4,9,6,0.24,2,0,0,barcelona
R. Araujo,Defender,1740,21,20,1,3,0,0.0,6,0,1,barcelona
R. Lewandowski,Attacker,2401,29,28,1,5,19,0.66,2,1,0,barcelona
Raphinha,Attacker,1821,31,21,10,19,7,0.23,7,0,0,barcelona
Sergi Roberto,Defender,1103,20,13,7,9,4,0.2,3,0,0,barcelona
Sergio Busquets,Midfielder,2088,27,25,2,8,0,0.0,6,1,0,barcelona
Á. Correa,Attacker,1183,30,11,19,10,6,0.2,1,0,1,atletico madrid
A. Griezmann,Attacker,2411,33,26,7,7,13,0.39,2,0,0,atletico madrid
A. Witsel,Midfielder,1825,28,20,8,3,0,0.0,2,0,0,atletico madrid
Adrián Corral Alciturri,Defender,0,0,0,0,0,0,0.0,0,0,0,atletico madrid
Aitor Gismera,Midfielder,0,0,0,0,0,0,0.0,0,0,0,atletico madrid
