name,position,played_minutes,appearances,first_squad,substitute_in,substitute_out,goals,avg_goals,yellow_cards,yellow_red_cards,red_cards,club
A. Hakimi,Defender,1886.0,26.0,21.0,5.0,2.0,4.0,0.15,6.0,1.0,0.0,psg
A. Letellier,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,psg
Carlos Soler,Midfielder,1131.0,22.0,14.0,8.0,11.0,3.0,0.14,0.0,0.0,0.0,psg
Danilo Pereira,Midfielder,1981.0,28.0,22.0,6.0,6.0,2.0,0.07,2.0,0.0,0.0,psg
E. Bitshiabu,Defender,390.0,10.0,4.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,psg
Fabián Ruiz,Midfielder,1664.0,24.0,18.0,6.0,9.0,1.0,0.04,0.0,0.0,0.0,psg
G. Donnarumma,Goalkeeper,2970.0,33.0,33.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,psg
H. Ekitike,Attacker,877.0,21.0,8.0,13.0,8.0,3.0,0.14,0.0,0.0,0.0,psg
H. Lamy,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,psg
I. Housni,Attacker,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,psg
Ismaël Gharbi,Midfielder,51.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,psg
Juan Bernat,Defender,1294.0,24.0,14.0,10.0,7.0,1.0,0.04,1.0,0.0,0.0,psg
K. Mbappé,Attacker,2372.0,29.0,27.0,2.0,6.0,23.0,0.79,5.0,0.0,0.0,psg
L. Messi,Attacker,2482.0,28.0,28.0,0.0,5.0,15.0,0.54,0.0,0.0,0.0,psg
M. Verratti,Midfielder,1791.0,24.0,22.0,2.0,11.0,0.0,0.0,9.0,0.0,1.0,psg
Marquinhos,Defender,2438.0,29.0,27.0,2.0,4.0,2.0,0.07,3.0,0.0,0.0,psg
N. Fernandez-Veliz,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,psg
N. Mukiele,Defender,1133.0,19.0,12.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,psg
Neymar,Attacker,1553.0,20.0,18.0,2.0,8.0,13.0,0.65,5.0,1.0,0.0,psg
Nuno Mendes,Defender,1553.0,23.0,18.0,5.0,10.0,1.0,0.04,2.0,0.0,0.0,psg
P. Kimpembe,Defender,730.0,11.0,9.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,psg
Renato Sanches,Midfielder,536.0,18.0,5.0,13.0,6.0,2.0,0.11,1.0,0.0,0.0,psg
Sergio Ramos,Defender,2258.0,28.0,26.0,2.0,4.0,1.0,0.04,3.0,0.0,1.0,psg
Sergio Rico,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,psg
