name,position,played_minutes,appearances,first_squad,substitute_in,substitute_out,goals,avg_goals,yellow_cards,yellow_red_cards,red_cards,club
A. Bah,Defender,1766,25,20,5,9,1,0.04,1,0,0,benfica
A. Schjelderup,Midfielder,0,1,0,1,0,0,0.0,0,0,0,benfica
Álex Grimaldo,Defender,2593,29,29,0,6,3,0.1,4,0,0,benfica
André Gomes,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,benfica
António Silva,Defender,2425,27,27,0,2,3,0.11,4,0,0,benfica
C. Ndour,Midfielder,0,1,0,1,0,0,0.0,0,0,0,benfica
C. Tengstedt,Attacker,20,3,0,3,0,0,0.0,0,0,0,benfica
Chiquinho,Midfielder,1134,21,11,10,5,1,0.05,0,0,0,benfica
David Neres,Attacker,1686,27,19,8,16,6,0.22,2,0,0,benfica
Diego Moreira,Attacker,0,0,0,0,0,0,0.0,0,0,0,benfica
F. Aursnes,Midfielder,1797,24,20,4,4,1,0.04,5,0,0,benfica
Florentino,Midfielder,1999,29,24,5,12,0,0.0,5,0,0,benfica
Gilberto,Defender,775,19,8,11,7,2,0.11,2,0,0,benfica
Gonçalo Guedes,Attacker,369,9,4,5,4,1,0.11,1,0,0,benfica
Gonçalo Ramos,Attacker,2011,26,26,0,20,17,0.65,3,1,0,benfica
Hugo Félix Sequeira,Midfielder,0,0,0,0,0,0,0.0,0,0,0,benfica
J. Draxler,Midfielder,405,10,4,6,4,1,0.1,0,0,0,benfica
João Mário,Midfielder,2343,29,29,0,14,17,0.59,4,1,0,benfica
João Neves,Midfielder,241,13,2,11,1,0,0.0,0,0,0,benfica
João Tomé,Defender,0,0,0,0,0,0,0.0,0,0,0,benfica
L. Kokubo,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,benfica
Lucas Veríssimo,Defender,8,2,0,2,0,0,0.0,0,0,0,benfica
M. Ristić,Defender,106,6,1,5,0,1,0.17,0,0,0,benfica
Morato,Defender,466,7,5,2,0,1,0.14,2,0,0,benfica
N. Otamendi,Defender,2505,28,28,0,1,1,0.04,9,1,0,benfica
O. Vlachodimos,Goalkeeper,2700,30,30,0,0,0,0.0,2,0,0,benfica
P. Musa,Attacker,576,26,2,24,2,5,0.19,1,0,0,benfica
Rafa,Midfielder,1875,24,22,2,12,6,0.25,6,0,0,benfica
Rafael Rodrigues,Defender,0,0,0,0,0,0,0.0,0,0,0,benfica
Samuel Soares,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,benfica
A. Marcus,Attacker,0,1,0,1,0,0,0.0,0,0,0,porto
André Franco,Attacker,598,14,5,9,4,2,0.14,2,0,0,porto
Bernardo Folha,Midfielder,53,4,1,3,0,0,0.0,1,1,0,porto
