name,position,played_minutes,appearances,first_squad,substitute_in,substitute_out,goals,avg_goals,yellow_cards,yellow_red_cards,red_cards,club
A. Meret,Goalkeeper,2790,31,31,0,0,0,0.0,0,0,0,napoli
A. Rrahmani,Defender,1998,24,22,2,2,2,0.08,1,0,0,napoli
A. Zambo Anguissa,Midfielder,2559,30,30,0,10,2,0.07,3,0,0,napoli
A. Zerbin,Attacker,61,7,0,7,0,0,0.0,1,0,0,napoli
B. Bereszyński,Defender,0,0,0,0,0,0,0.0,0,0,0,napoli
D. Demme,Midfielder,87,5,1,4,1,0,0.0,0,0,0,napoli
D. Marfella,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,napoli
E. Elmas,Midfielder,1243,31,9,22,6,6,0.19,3,0,0,napoli
G. Di Lorenzo,Defender,2869,32,32,0,1,2,0.06,2,0,0,napoli
G. Gaetano,Midfielder,35,5,0,5,0,0,0.0,0,0,0,napoli
G. Raspadori,Attacker,762,20,9,11,8,2,0.1,1,0,0,napoli
G. Simeone,Attacker,307,20,1,19,2,3,0.15,1,0,0,napoli
H. Idasiak,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,napoli
H. Lozano,Attacker,1561,30,19,11,18,3,0.1,3,0,0,napoli
Juan Jesus,Defender,811,12,9,3,1,1,0.08,2,0,0,napoli
K. Kvaratskhelia,Attacker,2125,28,26,2,19,12,0.43,1,0,0,napoli
K. Zedadka,Midfielder,6,2,0,2,0,0,0.0,0,0,0,napoli
Kim Min-Jae,Defender,2723,31,31,0,3,2,0.06,4,0,0,napoli
L. Østigård,Defender,236,5,2,3,0,0,0.0,1,0,0,napoli
M. Olivera,Defender,1184,25,12,13,3,2,0.08,2,0,0,napoli
M. Politano,Attacker,1132,25,14,11,14,3,0.12,1,0,0,napoli
Mário Rui,Defender,1685,21,20,1,12,0,0.0,2,0,1,napoli
P. Gollini,Goalkeeper,90,1,1,0,0,0,0.0,0,0,0,napoli
P. Zieliński,Midfielder,1906,31,23,8,21,3,0.1,3,0,0,napoli
S. Lobotka,Midfielder,2626,32,29,3,13,1,0.03,2,0,0,napoli
T. Ndombélé,Midfielder,725,29,7,22,7,1,0.03,5,0,0,napoli
V. Boffelli,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,napoli
V. Osimhen,Attacker,2112,26,24,2,13,21,0.81,4,0,0,napoli
Á. Di María,Midfielder,1135,21,13,8,9,4,0.19,1,0,1,juventus
A. Milik,Attacker,1301,22,14,8,8,7,0.32,2,1,0,juventus
A. Rabiot,Midfielder,2301,27,26,1,4,8,0.3,7,0,0,juventus
A. Riccio,Defender,0,0,0,0,0,0,0.0,0,0,0,juventus
Alessandro Sersanti,Midfielder,0,0,0,0,0,0,0.0,0,0,0,juventus
Alex Sandro,Defender,1636,23,19,4,4,0,0.0,5,0,1,juventus
Bremer,Defender,2378,27,27,0,5,3,0.11,6,0,0,juventus
C. Pinsoglio,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,juventus
D. Rugani,Defender,445,6,5,1,1,0,0.0,0,0,0,juventus
D. Vlahović,Attacker,1749,24,20,4,10,9,0.38,0,0,0,juventus
Danilo,Defender,2822,33,31,2,0,3,0.09,4,0,0,juventus
Dean Donny Huijsen,Defender,0,0,0,0,0,0,0.0,0,0,0,juventus
E. Barrenechea,Midfielder,161,3,3,0,3,0,0.0,0,0,0,juventus
F. Chiesa,Attacker,555,16,3,13,4,0,0.0,2,0,0,juventus
F. Gatti,Defender,1086,14,12,2,0,0,0.0,3,0,0,juventus
F. Kostić,Midfielder,2375,33,30,3,19,3,0.09,3,0,0,juventus
F. Miretti,Midfielder,1124,25,12,13,11,0,0.0,2,0,0,juventus
G. Crespi,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,juventus
G. Garofani,Goalkeeper,0,0,0,0,0,0,0.0,0,0,0,juventus
J. Cuadrado,Midfielder,1734,27,20,7,12,1,0.04,4,0,1,juventus
